country,continent,ave_pop
Afghanistan,Asia,15823715.416666666
Albania,Europe,2580249.1666666665
Algeria,Africa,19875406.166666668
Angola,Africa,7309390.083333333
Argentina,Americas,28602239.916666668
Australia,Oceania,14649312.5
Austria,Europe,7583298.416666667
Bahrain,Asia,373913.1666666667
Bangladesh,Asia,90755395.33333333
Belgium,Europe,9725118.666666666
Benin,Africa,4017496.6666666665
Bolivia,Americas,5610395.166666667
Bosnia and Herzegovina,Europe,3816524.75
Botswana,Africa,971186.1666666666
Brazil,Americas,122312126.66666667
Bulgaria,Europe,8182985.333333333
Burkina Faso,Africa,7548677.25
Burundi,Africa,4651608.333333333
Cambodia,Asia,8510430.666666666
Cameroon,Africa,9816648.416666666
Canada,Americas,24462967.333333332
Central African Republic,Africa,2560963
Chad,Africa,5329256.333333333
Chile,Americas,11205725.333333334
China,Asia,958160051.9166666
Colombia,Americas,27256099.583333332
Comoros,Africa,361683.9166666667
"Congo, Dem. Rep.",Africa,32681655.25
"Congo, Rep.",Africa,1923209.0833333333
Costa Rica,Americas,2400007.75
Cote d'Ivoire,Africa,9153109.5
Croatia,Europe,4289916.25
Cuba,Americas,9232575.5
Czech Republic,Europe,9986262.833333334
Denmark,Europe,4994187.333333333
Djibouti,Africa,260243.91666666666
Dominican Republic,Americas,5735697.416666667
Ecuador,Americas,8212243.416666667
Egypt,Africa,46522774.25
El Salvador,Americas,4343441.416666667
Equatorial Guinea,Africa,327551
Eritrea,Africa,2820216.8333333335
Ethiopia,Africa,41632518.75
Finland,Europe,4771321
France,Europe,52952564.333333336
Gabon,Africa,795415.4166666666
Gambia,Africa,793138.5833333334
Germany,Europe,77547043.33333333
Ghana,Africa,12616626.416666666
Greece,Europe,9424181.083333334
Guatemala,Americas,6858694.75
Guinea,Africa,5360550.666666667
Guinea-Bissau,Africa,882008.4166666666
Haiti,Americas,5401633.75
Honduras,Americas,3920593.4166666665
"Hong Kong, China",Asia,4792259.333333333
Hungary,Europe,10217645.666666666
Iceland,Europe,226978.08333333334
India,Asia,701130739.8333334
Indonesia,Asia,148322833.33333334
Iran,Asia,42301706.833333336
Iraq,Asia,14187495.166666666
Ireland,Europe,3340825.9166666665
Israel,Asia,3845610.75
Italy,Europe,54536958
Jamaica,Americas,2135122.8333333335
Japan,Asia,111758808
Jordan,Asia,2667972.75
Kenya,Africa,18206250.166666668
"Korea, Dem. Rep.",Asia,16453881.25
"Korea, Rep.",Asia,36499386.333333336
Kuwait,Asia,1206495.5833333333
Lebanon,Asia,2781846.4166666665
Lesotho,Africa,1389696.4166666667
Liberia,Africa,1813857.1666666667
Libya,Africa,3166803.5833333335
Madagascar,Africa,9902402.166666666
Malawi,Africa,7016377.416666667
Malaysia,Asia,14574055.333333334
Mali,Africa,7112340.083333333
Mauritania,Africa,1782723.8333333333
Mauritius,Africa,926072.25
Mexico,Americas,68414297.41666667
Mongolia,Asia,1734850.6666666667
Montenegro,Europe,564269.6666666666
Morocco,Africa,20555741.916666668
Mozambique,Africa,12046695.333333334
Myanmar,Asia,33432292.5
Namibia,Africa,1157849.75
Nepal,Asia,16551744.583333334
Netherlands,Europe,13786797.916666666
New Zealand,Oceania,3100032.1666666665
Nicaragua,Americas,3040975.1666666665
Niger,Africa,6857373.833333333
Nigeria,Africa,73708017.83333333
Norway,Europe,4031441.0833333335
Oman,Asia,1438205.3333333333
Pakistan,Asia,93683385.75
Panama,Americas,1985290.25
Paraguay,Americas,3555485.9166666665
Peru,Americas,17559093
Philippines,Asia,52636628.583333336
Poland,Europe,34323304.416666664
Portugal,Europe,9586273.916666666
Puerto Rico,Americas,3115178.25
Reunion,Africa,518497.75
Romania,Europe,20819090.166666668
Rwanda,Africa,5298435.666666667
Sao Tome and Principe,Africa,105977.83333333333
Saudi Arabia,Asia,12478368
Senegal,Africa,6446305.416666667
Serbia,Europe,8783886.75
Sierra Leone,Africa,3605424.9166666665
Singapore,Asia,2667817.4166666665
Slovak Republic,Europe,4774507.083333333
Slovenia,Europe,1794381.4166666667
Somalia,Africa,5197197.833333333
South Africa,Africa,29928352.166666668
Spain,Europe,35851798.416666664
Sri Lanka,Asia,14545831.75
Sudan,Africa,21560331.416666668
Swaziland,Africa,679052
Sweden,Europe,8220028.916666667
Switzerland,Europe,6384293.166666667
Syria,Asia,9865378.75
Taiwan,Asia,16874723.916666668
Tanzania,Africa,20499497.666666668
Thailand,Asia,44961631.166666664
Togo,Africa,2895964
Trinidad and Tobago,Americas,1006469.6666666666
Tunisia,Africa,6686770.25
Turkey,Europe,45909008.25
Uganda,Africa,14361049.416666666
United Kingdom,Europe,56087800.666666664
United States,Americas,228211232.5
Uruguay,Americas,2912487.1666666665
Venezuela,Americas,15129801.333333334
Vietnam,Asia,54568570.916666664
West Bank and Gaza,Asia,1848606.5
"Yemen, Rep.",Asia,10843191.833333334
Zambia,Africa,6353804.833333333
Zimbabwe,Africa,7641966.083333333
